turistas,periodo
95.029,01/01/2006
91.718,01/02/2006
102.151,01/03/2006
141.367,01/04/2006
97.565,01/05/2006
98.306,01/06/2006
164.076,01/07/2006
118.977,01/08/2006
68.703,01/09/2006
79.439,01/10/2006
89.435,01/11/2006
107.088,01/12/2006
82.894,01/01/2007
91.063,01/02/2007
102.024,01/03/2007
126.732,01/04/2007
89.25,01/05/2007
99.853,01/06/2007
171.099,01/07/2007
127.255,01/08/2007
67.144,01/09/2007
81.673,01/10/2007
98.835,01/11/2007
101.169,01/12/2007
81.161,01/01/2008
88.839,01/02/2008
131.431,01/03/2008
90.449,01/04/2008
102.103,01/05/2008
109.112,01/06/2008
189.978,01/07/2008
127.701,01/08/2008
76.963,01/09/2008
89.598,01/10/2008
101.236,01/11/2008
108.278,01/12/2008
98.745,01/01/2009
95.37,01/02/2009
95.544,01/03/2009
137.388,01/04/2009
95.759,01/05/2009
113.127,01/06/2009
229.152,01/07/2009
161.117,01/08/2009
81.185,01/09/2009
104.333,01/10/2009
125.782,01/11/2009
136.043,01/12/2009
114.499,01/01/2010
108.151,01/02/2010
149.851,01/03/2010
154.431,01/04/2010
139.576,01/05/2010
119.821,01/06/2010
220.166,01/07/2010
158.078,01/08/2010
88.137,01/09/2010
104.555,01/10/2010
122.821,01/11/2010
123.722,01/12/2010
87.632,01/01/2011
85.877,01/02/2011
117.543,01/03/2011
153.934,01/04/2011
118.381,01/05/2011
118.38,01/06/2011
228.95,01/07/2011
171.51,01/08/2011
115.722,01/09/2011
111.656,01/10/2011
114.948,01/11/2011
123.767,01/12/2011
77.101,01/01/2012
98.477,01/02/2012
120.342,01/03/2012
170.337,01/04/2012
121.631,01/05/2012
131.767,01/06/2012
227.192,01/07/2012
161.225,01/08/2012
91.459,01/09/2012
111.979,01/10/2012
143.502,01/11/2012
136.221,01/12/2012
87.674,01/01/2013
116.386,01/02/2013
161.688,01/03/2013
137.013,01/04/2013
142.406,01/05/2013
146.594,01/06/2013
232.72,01/07/2013
178.369,01/08/2013
109.41,01/09/2013
131.833,01/10/2013
157.056,01/11/2013
142.426,01/12/2013
111.135,01/01/2014
120.641,01/02/2014
152.714,01/03/2014
188.314,01/04/2014
173.706,01/05/2014
180.291,01/06/2014
250.572,01/07/2014
198.943,01/08/2014
121.658,01/09/2014
139.642,01/10/2014
141.472,01/11/2014
142.863,01/12/2014
114.343,01/01/2015
118.952,01/02/2015
151.748,01/03/2015
175.869,01/04/2015
176.788,01/05/2015
171.517,01/06/2015
246.712,01/07/2015
217.376,01/08/2015
136.018,01/09/2015
152.33,01/10/2015
160.956,01/11/2015
159.274,01/12/2015
138.355,01/01/2016
133.234,01/02/2016
190.278,01/03/2016
166.616,01/04/2016
181.24,01/05/2016
223.625,01/06/2016
257.404,01/07/2016
220.493,01/08/2016
151.513,01/09/2016
183.723,01/10/2016
158.237,01/11/2016
149.852,01/12/2016
144.387,01/01/2017
125.779,01/02/2017
165.895,01/03/2017
218.784,01/04/2017
217.775,01/05/2017
284.946,01/06/2017
309.252,01/07/2017
238.875,01/08/2017
141.983,01/09/2017
179.429,01/10/2017
212.742,01/11/2017
223.023,01/12/2017
172.04,01/01/2018
171.651,01/02/2018
191.27,01/03/2018
210.408,01/04/2018
196.733,01/05/2018
241.95,01/06/2018
340.475,01/07/2018
266.413,01/08/2018
190.048,01/09/2018
202.537,01/10/2018
272.437,01/11/2018
251.403,01/12/2018
182.081,01/01/2019
166.12,01/02/2019
236.434,01/03/2019
275.871,01/04/2019
263.067,01/05/2019
308.752,01/06/2019
399.622,01/07/2019
335.54,01/08/2019
279.474,01/09/2019
269.069,01/10/2019
307.359,01/11/2019
265.204,01/12/2019
247.027,01/01/2020
240.931,01/02/2020
216.081,01/03/2020
0.051,01/04/2020
0,01/05/2020
1.064,01/06/2020
288.259,01/07/2020
362.305,01/08/2020
337.114,01/09/2020
308.675,01/10/2020
264.955,01/11/2020
248.357,01/12/2020
